№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
563;СИРИАЛ ПАРТНЕРС РУС, ООО;1047796359500;SIRIAL PARTNERS RUS, OOO;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";24.05.2004;18,5;7705598512;Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;251 - 500;308;306;265;271;"""Сервисы"", ""left""";5 145 033 000;3 967 241 000;4 340 079 000;6 470 356 000;7 407 405 000;1 080 083 000;-275 936 000;172 871 000;820 247 000;1 368 735 000
564;СИСКО СИСТЕМС, ООО;5067746439570;SISKO SISTEMS, OOO;"ООО ""СИСКО СИСТЕМС""";05.09.2006;16,5;7705751094;Исследование конъюнктуры рынка и изучение общественного мнения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;59;55;71;71;62;"""left""";2 398 281 000;2 063 044 000;1 751 968 000;1 756 216 000;1 847 883 000;94 702 000;217 366 000;-72 419 000;216 942 000;-74 132 000
565;СИСТЕМА ПБО, ООО;1027700251754;QSR SYSTEM, LLC;"ООО ""СИСТЕМА ПБО""";16.07.1996;26,5;7710044140;Деятельность ресторанов и услуги по доставке продуктов питания;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;> 5 000;> 5 000;;;;"""left""";66 272 547 000;69 263 115 000;58 410 455 000;57 956 765 000;75 207 698 000;4 288 034 000;5 974 664 000;3 737 197 000;4 403 182 000;2 713 312 000
566;СИСТЕМА, ПАО АФК;1027700003891;SISTEMA, PAO AFK;"ПАО АФК ""СИСТЕМА""";16.07.1993;29,5;7703104630;Вложения в ценные бумаги и деятельность дилерская;Публичные акционерные общества;Частная собственность;Крупные предприятия;251 - 500;285;290;292;259;"""Для ЛС"", ""left"", ""для гендерноо"", ""для див +ген"", ""для ЛС по сделкам""";19 096 033 000;31 192 955 000;44 947 796 000;29 438 119 000;24 268 909 000;-40 308 171 000;-36 992 750 000;83 133 867 000;155 051 379 000;-78 659 893 000
567;СИСТЕМЭЙР ПРОДАКШН, ООО;1207700501073;SYSTEMAIR PRODUCTION, LLC;"ООО ""СИСТЕМЭЙР ПРОДАКШН""";29.12.2020;2,0;9725042163;Производство строительных металлических конструкций, изделий и их частей;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;;;;;8;"""left""";;;;;3 754 000;;;;;-38 669 000
568;СИТИ-ТОРГ, ООО;1204000004471;CITI TORG, LLC;"ООО ""СИТИ-ТОРГ""";19.06.2020;2,5;4018011762;Торговля оптовая прочими пищевыми продуктами;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;1;;"""left""";;;;;213 000;;;;;6 000
569;СИТИВИДЕНИЕ ГЛОБАЛ, ЗАО;1077746705838;SITIVIDENIE GLOBAL, ZAO;"ЗАО ""СИТИВИДЕНИЕ ГЛОБАЛ""";26.02.2007;16,0;7725598260;Деятельность рекламных агентств;Непубличные акционерные общества;Частная собственность;Микропредприятия;52;71;82;53;40;"""left""";1 517 368 000;929 380 000;1 195 144 000;931 100 000;1 415 122 000;9 638 000;-15 918 000;-59 828 000;-3 375 000;12 796 000
570;СИТРОНИКС, АО;1027735010511;SITRONICS, JSC;"АО ""СИТРОНИКС""";09.12.2002;20,0;7735116621;Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки;Непубличные акционерные общества;Частная собственность;Крупные предприятия;65;79;91;116;157;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";503 603 000;4 185 659 000;2 987 907 000;4 444 538 000;5 858 410 000;241 788 000;880 176 000;664 249 000;815 816 000;928 649 000
571;СИЭМЭЙ СИДЖИЭМ РУСЬ, ООО;1037739876426;SIEMEI SIDZHIEM RUS, OOO;"ООО""СИЭМЭЙ СИДЖИЭМ РУСЬ""";24.09.2003;19,5;7705563140;Деятельность вспомогательная прочая, связанная с перевозками;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;179;223;184;201;209;"""left""";447 702 000;520 962 000;596 715 000;723 480 000;786 022 000;80 465 000;113 879 000;175 150 000;237 985 000;235 478 000
572;СК КАРДИФ, ООО;1077757490920;CARDIF INSURANCE COMPANY, LLC;"ООО ""СК КАРДИФ""";03.07.2007;15,5;7714701780;Страхование;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
573;СКАНИЯ ЛИЗИНГ, ООО;1027700203970;SKANIYA LIZING, OOO;"ООО ""СКАНИЯ ЛИЗИНГ""";03.10.2000;22,5;7705392920;Деятельность по финансовой аренде (лизингу/сублизингу);Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;62;51 - 100;;;;"""left""";13 482 171 000;20 634 979 000;27 796 075 000;29 890 466 000;35 001 124 000;1 004 647 000;1 693 059 000;2 739 512 000;2 720 093 000;3 337 321 000
574;СКВАЙР, САНДЕРС ЭНД ДЕМПСИ ЛЛП;;SKVAIR, SANDERS END DEMPSI LLP;СКВАЙР, САНДЕРС ЭНД ДЕМПСИ ЛЛП;05.04.2002;21,0;7738170747;Деятельность в области права;Прочие юридические лица, являющиеся коммерческими организациями;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
575;СКЕТЧЕРС, ООО;1175958033844;SKETCHERS, OOO;"ООО ""СКЕТЧЕРС""";16.08.2017;5,5;5902044816;Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;2;1;2;1;"""left""";1 140 000;3 710 000;6 474 000;9 401 000;7 717 000;80 000;-12 000;356 000;-269 000;-372 000
576;СКН, ООО;1124101001507;SKN, OOO;"ООО ""СКН""";27.02.2012;11,0;4101150169;Добыча нефти;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;27;151 - 200;207;330;351;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";70 405 000;4 117 699 000;13 643 660 000;11 473 811 000;;-35 672 000;267 677 000;4 253 941 000;5 748 431 000;
577;СКФ НОВЫЙ ПОРТ, ООО;1167847195834;SKF NOVY PORT, OOO;"ООО ""СКФ НОВЫЙ ПОРТ""";22.04.2016;6,5;7841038870;Деятельность морского грузового транспорта;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;147;150;157;198;202;"""left""";5 340 432 000;5 658 949 000;6 364 129 000;8 312 785 000;7 873 220 000;689 353 000;661 785 000;560 082 000;969 081 000;-47 654 000
578;СЛ ЛИГАЛ, ООО;1027739201225;SL LEGAL, LLC;"ООО ""СЛ ЛИГАЛ""";04.09.1997;25,5;7703174349;Деятельность в области права;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;;"""left""";;16 581 000;16 433 000;20 002 000;5 975 000;;1 196 000;804 000;3 011 000;-1 498 000
579;СЛАВА, ООО;1197746015400;SLAVA, OOO;"ООО ""СЛАВА""";18.01.2019;4,0;9718124584;Деятельность по общей уборке зданий;Общества с ограниченной ответственностью;Частная собственность;;;;1;;1;"""left""";;;822 000;;;;;5 000;;
580;СМАРТ ТИМ СЕРВИС, ООО;1097746130239;SMART TIM SERVIS, OOO;"ООО ""СМАРТ ТИМ СЕРВИС""";12.03.2009;14,0;7701831623;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;19;30;33;39;47;"""left""";87 275 000;94 267 000;90 982 000;109 905 000;202 916 000;17 845 000;3 250 000;3 097 000;-8 579 000;25 828 000
581;СМЗ, АО;1026300763389;SMZ, JSC;"АО ""СМЗ""";29.12.2001;21,0;6310000160;Производство алюминия;Непубличные акционерные общества;Частная собственность;Крупные предприятия;1 001 - 5 000;;;;;"""Сервисы"", ""left""";40 420 927 000;48 060 305 000;46 123 996 000;51 794 684 000;;3 291 248 000;1 992 107 000;3 067 212 000;6 041 552 000;
582;СО ЕЭС, АО;1027700201352;SO EES, AO;"АО ""СО ЕЭС""";17.06.2002;20,5;7705454461;Распределение электроэнергии;Непубличные акционерные общества;Федеральная собственность;Крупные предприятия;> 5 000;> 5 000;;8 041;;"""left""";25 824 003 000;26 265 136 000;27 761 854 000;31 331 419 000;;1 122 211 000;704 413 000;683 718 000;1 651 399 000;
583;СОЛЛЕРС ХОЛДИНГ МЕНЕДЖМЕНТ, ООО;1071674002180;SOLLERS HOLDING MANAGEMENT, LLC;"ООО ""СОЛЛЕРС ХОЛДИНГ МЕНЕДЖМЕНТ""";27.07.2007;15,5;1646021952;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;1 001 - 5 000;501 - 1 000;;;;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";67 103 053 000;69 417 632 000;44 853 312 000;25 214 999 000;16 484 171 000;-16 029 891 000;-12 553 962 000;-18 242 076 000;1 625 585 000;3 090 279 000
584;СОЛЬВЕЙ ВОСТОК, ООО;1057743043181;SOLVEI VOSTOK, OOO;"ООО ""СОЛЬВЕЙ ВОСТОК""";22.04.2005;17,5;7743085960;Торговля оптовая пластмассами и резиной в первичных формах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;35;36;33;27;26;"""left""";2 076 463 000;576 879 000;548 084 000;465 296 000;469 180 000;38 771 000;-7 629 000;37 486 000;95 697 000;62 128 000
585;СОНОС ИНЖИНИРИНГ, ООО;1172536032129;SONOS INZHINIRING, OOO;"ООО ""СОНОС ИНЖИНИРИНГ""";30.08.2017;5,5;2536305544;Производство электромонтажных работ;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;1;1;1;1;"""left""";1 551 000;149 000;;1 370 000;2 335 000;14 000;19 000;;533 000;1 687 000
586;СОНУС, ООО;1077746252275;SONY, LTD;"ООО ""СОНУС""";29.01.2007;16,0;7703623724;Торговля оптовая непродовольственными потребительскими товарами;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
587;СОУДАЛ, ООО;1037722004330;SOUDAL, LLC;"ООО ""СОУДАЛ""";27.01.2003;20,0;7722279315;Торговля оптовая промышленными химикатами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;85;87;91;73;70;"""left""";2 292 694 000;2 667 315 000;3 129 058 000;2 955 832 000;3 718 110 000;6 768 000;87 621 000;95 660 000;111 836 000;90 515 000
588;СОЮЗ, ФГУП ТМКБ;1037739036345;SOYUZ, FGUP TMKB;"ФГУП ТМКБ ""СОЮЗ""";05.03.1997;26,0;7733022030;Научные исследования и разработки в области естественных и технических наук прочие;Федеральные государственные унитарные предприятия;Федеральная собственность;;11 - 15;;;;;"""left""";140 000 000;305 000;;;;3 316 000;-54 240 000;;;
589;СКАНДИ ПАКК, ООО;1025001768110;SCANDI PAKK, LLC;"ООО ""СКАНДИ ПАКК""";13.09.1993;29,5;7724000760;Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;590;605;666;650;655;"""Сервисы"", ""left""";6 680 168 000;7 528 236 000;8 293 698 000;7 017 498 000;9 056 051 000;709 412 000;836 240 000;1 071 071 000;544 119 000;1 189 325 000
590;СПОРТИВНАЯ АССОЦИАЦИЯ САП ВОСТОК, АНО;1222500024702;SPORTIVNAYA ASSOTSIATSIYA SAP VOSTOK, ANO;"АНО ""СПОРТИВНАЯ АССОЦИАЦИЯ ""САП ВОСТОК""";30.09.2022;0,5;2543169349;Деятельность в области спорта прочая;Автономные некоммерческие организации;Частная собственность;;;;;;;"""left""";;;;;;;;;;
591;СПОТИФАЙ, ООО;1147746011962;SPOTIFAI, OOO;"ООО ""СПОТИФАЙ""";13.01.2014;9,0;7710955287;Исследование конъюнктуры рынка;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;;;;8;12;"""left""";;4 944 000;48 340 000;530 870 000;983 286 000;-4 325 000;100 000;3 450 000;26 905 000;52 729 000
592;СПРИНГФИЛД ГРУПП, ООО;1217800181323;SPRINGFIELD GROUP, LLC;"ООО ""СПРИНГФИЛД ГРУПП""";24.11.2021;1,0;7810933696;Торговля оптовая неспециализированная;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;;"""left""";;;;;;;;;;
593;ССАБ СНГ, ООО;1057810304661;SSAB SNG, OOO;"ООО ""ССАБ СНГ""";05.05.2005;17,5;7816366147;Торговля оптовая металлами в первичных формах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;46;51;51;48;49;"""left""";3 141 808 000;4 667 724 000;5 545 108 000;5 300 120 000;7 714 016 000;225 519 000;777 122 000;405 614 000;566 284 000;705 094 000
594;ССИ ИНЖИНИРИНГ, АО;5077746846920;SWECO SOYUZ ENGINEERING, JSC;"АО ""ССИ ИНЖИНИРИНГ""";29.05.2007;15,5;7728622433;Деятельность в области архитектуры, связанная с созданием архитектурного объекта;Непубличные акционерные общества;Совместная частная и иностранная собственность;Малые предприятия;76;80;70;64;65;"""left""";226 546 000;310 316 000;308 305 000;316 081 000;271 933 000;4 880 000;11 443 000;11 648 000;9 635 000;6 881 000
595;СТАРСТРОЙ, ООО;1022301172519;STARSTROI, OOO;"ООО ""СТАРСТРОЙ""";12.03.1999;24,0;2308063783;Деятельность в области архитектуры, связанная с созданием архитектурного объекта;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;881;979;972;1 004;1 025;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";2 094 162 000;2 536 494 000;2 570 979 000;2 880 015 000;2 619 508 000;293 877 000;510 410 000;624 113 000;832 151 000;548 902 000
596;СТОРИТЕЛ, ООО;1147847137020;STORITEL, OOO;"ООО ""СТОРИТЕЛ""";15.04.2014;9,0;7802857829;Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий на электронных носителях;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;3;7;11;14;13;"""left""";17 879 000;55 148 000;233 976 000;394 391 000;691 457 000;-46 003 000;-244 557 000;-149 390 000;-233 759 000;130 532 000
597;СТРАДИВАРИУС СНГ, ООО;1067746458394;STRADIVARIUS SNG, OOO;"ООО ""СТРАДИВАРИУС СНГ""";06.04.2006;17,0;7717555217;Торговля розничная прочая в неспециализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;939;885;876;725;705;"""left""";5 564 975 000;5 554 821 000;6 366 198 000;5 758 325 000;7 962 091 000;285 530 000;391 797 000;714 487 000;233 377 000;1 085 134 000
598;СТУ, ООО;1025600575725;STU, OOO;"ООО ""СТУ""";28.12.2001;21,0;5603011386;Предоставление услуг в области добычи нефти и природного газа;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;162;165;144;147;144;"""left""";414 234 000;583 999 000;707 321 000;803 806 000;894 747 000;8 310 000;60 387 000;110 369 000;205 947 000;125 548 000
599;СУБАРУ МОТОР, ООО;1027700174920;SUBARU MOTOR, OOO;"ООО ""СУБАРУ МОТОР""";26.05.2000;22,5;7714176330;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Крупные предприятия;91;51 - 100;;;70;"""left"", ""Авто_Москва""";11 190 398 000;15 403 312 000;16 107 056 000;13 581 856 000;14 140 162 000;391 701 000;-96 972 000;-41 465 000;331 762 000;427 911 000
600;СУЗУКИ МОТОР РУС, ООО;1057747112103;SUZUKI MOTOR RUS, OOO;"ООО ""СУЗУКИ МОТОР РУС""";27.05.2005;17,5;7704558059;Торговля автотранспортными средствами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;65;69;67;69;65;"""left""";5 811 783 000;7 001 118 000;9 661 301 000;10 567 795 000;13 628 905 000;126 026 000;239 128 000;212 230 000;89 063 000;1 087 016 000
601;СУСЕ СНГ, ООО;1187746270656;SUSE SNG, OOO;"ООО ""СУСЕ СНГ""";13.03.2018;5,0;9718091152;Деятельность консультативная и работы в области компьютерных технологий;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;1;1;2;8;"""left""";;;6 998 000;1 260 000;31 494 000;;;2 976 000;567 000;13 676 000
602;СУШИ РОКУ, ООО;1212200006150;SUSHI ROKU, OOO;"ООО ""СУШИ РОКУ""";26.02.2021;2,0;2223635946;Деятельность ресторанов и услуги по доставке продуктов питания;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;13;"""left""";;;;;39 196 000;;;;;-13 775 000
603;СФЕРА, ООО;1177746673169;SPHERE, LLC;"ООО ""СФЕРА""";06.07.2017;5,5;7702420009;Деятельность в области связи на базе беспроводных технологий;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;-1 231 000;-3 880 000;-5 859 000;-2 814 000;-1 957 000
604;СЦ БОШ, ООО;1075920001310;STS BOSH, OOO;"ООО ""СЦ ""БОШ""";26.07.2007;15,5;5920027757;Торговля розничная бытовыми электротоварами в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;3;4;;3;"""left""";3 819 000;4 646 000;6 584 000;4 354 000;2 495 000;-794 000;-427 000;99 000;-381 000;-589 000
605;СЬЕНА КОММЬЮНИКЕЙШНЗ СИ-АЙ-ЭС, ООО;1107746448996;SENA KOMMYUNIKEISHNZ SI-AI-ES, OOO;"ООО ""СЬЕНА КОММЬЮНИКЕЙШНЗ СИ-АЙ-ЭС";01.06.2010;12,5;7704755829;Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;8;19;48;44;30;"""left""";95 912 000;128 533 000;279 216 000;297 573 000;247 015 000;3 280 000;12 970 000;67 495 000;101 088 000;89 543 000
606;СЭБ БАНК, АО;1027800000910;SEB BANK, AO;"АО ""СЭБ БАНК""";15.03.1995;28,0;4706006731;Денежное посредничество прочее;Непубличные акционерные общества;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
607;СЭЗЭМ, ООО;1075050005656;SEZEM, LLC;"ООО ""СЭЗЭМ""";07.09.2007;15,5;5050066052;Производство электрической распределительной и регулирующей аппаратуры;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Крупные предприятия;41;53;74;71;61;"""Сервисы"", ""left""";1 199 589 000;1 899 265 000;3 916 338 000;4 097 579 000;3 805 712 000;147 217 000;228 941 000;215 761 000;248 912 000;175 620 000
608;СЭРК, ООО;5067746785882;SERK, OOO;"ООО ""СЭРК""";22.09.2006;16,5;7703608910;Торговля оптовая бытовыми электротоварами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;;507;508;;;"""left""";;202 024 821 000;210 382 674 000;246 035 215 000;288 741 430 000;;5 500 299 000;5 542 221 000;10 452 743 000;8 723 686 000
609;СЯОМИ, ООО;1187746785819;SYAOMI, OOO;ООО «СЯОМИ»;30.08.2018;4,5;7726439295;Торговля розничная телекоммуникационным оборудованием, включая розничную торговлю мобильными телефонами, в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;;;1;2;50;"""left""";;;1 567 206 000;8 035 581 000;16 582 379 000;;;246 733 000;811 214 000;1 282 319 000
610;ТА НЕМИРОФФ, ООО;1203900013833;TA NEMIROFF, OOO;"ООО ""ТА ""НЕМИРОФФ""";05.11.2020;2,0;3906396251;Торговля оптовая табачными изделиями;Общества с ограниченной ответственностью;Собственность иностранных граждан и лиц без гражданства;;;;;1;1;"""left""";;;;;;;;;;
611;ТАНИН, ООО;1027739566359;TANIN, OOO;"ООО ""ТАНИН""";31.01.1992;31,0;7731022179;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;4;4;4;4;4;"""left""";13 344 000;14 011 000;14 712 000;11 994 000;11 975 000;12 062 000;12 577 000;13 222 000;10 023 000;9 464 000
612;ТАТНЕФТЬ ИМ. В.Д. ШАШИНА, ПАО;1021601623702;TATNEFT N.A. V.D. SHASHIN, OJSC;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";20.12.2001;21,0;1644003838;Добыча нефти и нефтяного (попутного) газа;Публичные акционерные общества;Совместная собственность субъектов Российской Федерации и иностранная собственность;Крупные предприятия;> 5 000;21 743;22 403;23 067;;"""Для ЛС"", ""left"", ""Курсовая Газпромнефть"", ""для гендерноо"", ""для див +ген"", ""для ЛС по сделкам""";581 536 880 000;793 237 174 000;827 026 695 000;633 330 666 000;1 069 309 679 000;131 803 204 000;253 879 731 000;203 088 454 000;106 700 508 000;183 545 003 000
613;ТАТНЕФТЬ-АЗС-СЕВЕРО-ЗАПАД, ООО;1037821003296;TATNEFT-AZS-NORTH-WEST, LLC;"ООО ""ТАТНЕФТЬ-АЗС-СЕВЕРО-ЗАПАД""";06.07.1998;24,5;7810145092;Торговля розничная моторным топливом в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;501 - 1 000;501 - 1 000;;;1 111;"""left""";19 137 366 000;22 107 554 000;21 276 358 000;18 845 817 000;23 738 968 000;954 191 000;705 174 000;1 300 712 000;890 495 000;286 799 000
614;ТВЕРДЬ, НП;1085000003626;TVERD, NP;"НП ""ТВЕРДЬ""";02.06.2008;14,5;5046072705;Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам;Некоммерческие партнерства;Частная собственность;;;;;;;"""left""";;;;;;;;;;
615;ТД ВАРЛАМЫЧ, ООО;1067760640892;TD VARLAMYCH, OOO;"ООО ""ТД ВАРЛАМЫЧ""";06.12.2006;16,0;7701693518;Торговля розничная прочая в неспециализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;;1;1;;1;1;"""left""";;;;;;;;;;
616;ТЕКНОС, ООО;1027802755144;TEKNOS, OOO;"ООО ""ТЕКНОС""";30.11.2000;22,0;7805192026;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;22;22;23;2;2;"""Сервисы"", ""left""";31 898 000;34 452 000;31 811 000;12 444 000;15 715 000;3 373 000;6 601 000;2 785 000;4 520 000;8 212 000
617;ТЕРАДАТА, ООО;1077757449131;TERADATA, OOO;"ООО ""ТЕРАДАТА""";02.07.2007;15,5;7705798423;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;136;150;141;146;144;"""left""";1 357 307 000;1 909 673 000;1 883 625 000;2 491 664 000;3 470 943 000;37 719 000;53 060 000;62 794 000;245 173 000;345 246 000
618;ТЕРЕКС РУС, ООО;1077759690436;TEREKS RUS, OOO;"ООО ""ТЕРЕКС РУС""";03.09.2007;15,5;7710687895;Производство подъемных кранов для строительства;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;;"""left""";85 285 000;20 478 000;1 809 000;1 300 000;891 000;-2 714 000;3 025 000;836 000;-10 560 000;10 840 000
619;ТЕРРА-Д, ООО;1147329001907;TERRA-D, OOO;"ООО ""ТЕРРА-Д""";11.06.2014;8,5;7329014930;Производство прочих комплектующих и принадлежностей для автотранспортных средств;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;27;30;41;42;38;"""Сервисы"", ""left""";63 120 000;151 108 000;129 953 000;100 447 000;125 605 000;155 000;1 076 000;-603 000;-10 607 000;-673 000
620;ТЕХКОМПАНИЯ ХУАВЭЙ, ООО;1027739023212;TEKHKOMPANIYA KHUAVEI, OOO;"ООО ""ТЕХКОМПАНИЯ ХУАВЭЙ """;15.09.2000;22,5;7714186804;Торговля оптовая программным обеспечением;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;1 001 - 5 000;;;;"""left""";61 726 741 000;132 309 675 000;143 945 156 000;127 727 029 000;112 774 992 000;1 923 381 000;4 556 135 000;5 191 313 000;6 440 441 000;5 013 700 000
621;ТЕХНОЛОГИИ ОФС, АО;1027739299961;OFS TECHNOLOGIES, JSC;АО «ТЕХНОЛОГИИ ОФС»;05.01.1993;30,0;7714024384;Предоставление услуг в области добычи нефти и природного газа;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;1 303;1 001 - 5 000;;;;"""left""";12 440 707 000;20 470 060 000;18 533 376 000;28 834 701 000;30 060 058 000;1 685 867 000;4 807 523 000;401 514 000;1 254 837 000;4 831 915 000
622;ТЗМО, ООО;1166313072320;TZMO, OOO;"ООО ""ТЗМО""";11.03.2016;7,0;6320014927;Обработка металлов и нанесение покрытий на металлы;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;2;3;4;5;"""left""";19 644 000;21 692 000;16 757 000;24 602 000;30 830 000;238 000;250 000;214 000;260 000;182 000
623;ТИБКО СОФТВЭР, ООО;5077746798080;TIBKO SOFTVER, OOO;"ООО ""ТИБКО СОФТВЭР""";17.05.2007;15,5;7726568283;Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;;;;;;"""left""";1 854 000;2 130 000;;;;138 000;159 000;-1 649 000;-1 453 000;-1 501 000
624;ТИККУРИЛА, ООО;1077847618287;TIKKURILA, OOO;"ООО ""ТИККУРИЛА""";25.02.1993;30,0;7816424590;Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;1 001 - 5 000;;;750;"""Сервисы"", ""left""";10 462 654 000;11 004 879 000;11 867 093 000;12 470 890 000;13 088 670 000;463 854 000;397 981 000;625 331 000;1 032 776 000;1 139 573 000
625;ТИКТОК РУС, ООО;1207700145817;TIKTOK RUS, OOO;"ООО ""ТИКТОК РУС""";30.03.2020;3,0;9706005663;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;;;;;42;"""left""";;;;51 036 000;3 327 864 000;;;;15 031 000;70 736 000
626;ТИМКЕН ОВК, ООО;1154715000120;TIMKEN OVK, OOO;"ООО ""ТИМКЕН ОВК""";25.02.2015;8,0;4715029693;"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением";Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;46;79;77;76;70;"""left""";297 572 000;943 948 000;1 506 786 000;1 241 643 000;1 349 668 000;-394 205 000;-360 352 000;9 800 000;-120 817 000;-147 602 000
